Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Muquém de São Francisco,BA,11479,Em elaboração,62.44,94.07,45.81,0
Antônio Carlos,MG,11471,Sim,30.56,3.54,12.82,5.00
Capitão de Campos,PI,11471,Em elaboração,65.16,--,--,--
Nova Laranjeiras,PR,11462,Em elaboração,73.2,78.41,60.13,2.50
Curimatá,PI,11461,Não,16.07,--,34.17,1.00
São Carlos,SC,11456,Sim,22.42,--,32.93,5.30
Igarapé Grande,MA,11453,Em elaboração,66.18,68.57,30.15,4.50
Duque Bacelar,MA,11451,Sim,85.48,--,--,0
Estiva,MG,11416,Sim,54.7,29.84,43.06,0
Porto Firme,MG,11414,Sim,54.31,--,--,--
Alto Taquari,MT,11413,Em elaboração,0.00,--,9.28,0
Lajes,RN,11410,Sim,13.36,40.6,0.96,0
Martinópole,CE,11407,Não,43.01,--,21.61,0
Pérola,PR,11406,Sim,0.02,--,20.95,0.20
Divisópolis,MG,11396,Não,33.97,72.19,28.65,0.80
Eugenópolis,MG,11383,Em elaboração,39.51,--,--,--
Guaraci,SP,11382,Em elaboração,8.79,11.26,16.53,0
Anguera,BA,11369,Em elaboração,46.67,--,55.62,0
Batayporã,MS,11368,Sim,24.58,36.27,23.82,4.60
Campo Redondo,RN,11363,Em elaboração,34.53,90.36,18.6,1.30
Avelino Lopes,PI,11361,Não,25.25,--,39.34,1.50
Moita Bonita,SE,11361,Não,32.43,38.52,51.59,0
Matias Cardoso,MG,11360,Em elaboração,50.17,--,25.18,0.90
Irineópolis,SC,11354,Em elaboração,59.71,--,55.96,4.00
Itatiaiuçu,MG,11354,Não,39.4,--,20.73,0
Bela Vista do Maranhão,MA,11347,Não,--,--,--,--
Palmares do Sul,RS,11342,Sim,70.67,--,20.65,0.50
Presidente Vargas,MA,11328,Não,75.15,--,73.52,0
Terra de Areia,RS,11323,Sim,50.67,--,29.35,0
Macajuba,BA,11318,Sim,35.08,--,--,--
Urubici,SC,11311,Sim,29.85,--,0.00,0
Poção,PE,11308,Não,40.91,0.05,20.41,3.60
Senador José Porfírio,PA,11305,Sim,--,--,69.04,15.70
Angelim,PE,11301,Em elaboração,21.1,--,--,--
Paranaíta,MT,11291,Em elaboração,42.16,--,0.00,0
Barbosa Ferraz,PR,11287,Sim,0.02,58.08,12.29,1.10
Senador Alexandre Costa,MA,11285,Não,0.13,--,18.48,0.30
Gentio do Ouro,BA,11284,Não,49.75,70.05,11.38,0
Esperantina,TO,11280,Não,29.45,74.81,29.17,0
Lagoa do Mato,MA,11280,Em elaboração,3.01,--,59.27,0
São Domingos,SE,11276,Sim,33.78,86.7,29.05,--
Balneário Barra do Sul,SC,11271,Em elaboração,0.00,--,0.63,0
Bom Jesus,RS,11270,Não,25.4,55.24,15.71,0.80
Moreilândia,PE,11269,Sim,49.5,--,--,2.10
Engenheiro Caldas,MG,11268,Sim,40.46,55.63,10.18,2.60
Cajapió,MA,11255,Não,80.66,--,45.8,0
Alto Parnaíba,MA,11233,Em elaboração,34.75,--,73.29,0
Uraí,PR,11233,Sim,0.02,7.8,18.43,0
Corumbá de Goiás,GO,11223,Não,1.54,--,34.69,0
Chorrochó,BA,11221,Em elaboração,46.62,75.14,75.49,--
Groaíras,CE,11219,Sim,41.55,--,19.65,14.20
Goianápolis,GO,11217,Não,6.94,--,9.39,0
Salgadinho,PE,11214,Não,66.07,--,--,--
Varre-Sai,RJ,11208,Não,69.96,--,10.78,1.70
São João do Paraíso,MA,11207,Não,--,--,51.21,--
Quebrangulo,AL,11202,Em elaboração,40.45,87.68,43.61,11.70
Areiópolis,SP,11186,Em elaboração,0.00,0.14,11.14,0
Cerro Corá,RN,11182,Sim,32.73,63.86,28.64,0
Fagundes,PB,11180,Em elaboração,47.96,--,50.63,0
Três Cachoeiras,RS,11174,Sim,75.00,--,1.56,0
Bernardino de Campos,SP,11168,Não,4.31,5.45,0.00,0
Barros Cassal,RS,11167,Sim,68.28,--,68.28,--
Montanhas,RN,11166,Em elaboração,0.00,--,10.44,0
Potengi,CE,11165,Em elaboração,61.41,--,--,2.50
Agrolândia,SC,11160,Sim,17.52,--,5.91,14.30
Rosário do Catete,SE,11158,Não,31.35,10.26,0.00,1.10
Cunha Porã,SC,11150,Sim,29.52,--,38.57,0.40
Igaratinga,MG,11146,Sim,43.46,18.18,17.13,0
Primeiro de Maio,PR,11138,Não,0.02,26.2,0.00,0
Juscimeira,MT,11124,Em elaboração,--,--,--,--
Inácio Martins,PR,11117,Em elaboração,29.77,78.28,32.54,0
São Gonçalo do Rio Abaixo,MG,11114,Em elaboração,0.00,0.00,47.55,13.40
São Pedro do Ivaí,PR,11109,Sim,7.4,47.75,9.98,0
Acari,RN,11106,Em elaboração,5.22,19.33,18.96,4.60
Catanduvas,SC,11106,Sim,2.52,42.82,0.00,0
Fervedouro,MG,11100,Sim,53.96,53.96,46.2,2.00
Maraial,PE,11098,Não,53.18,--,30.01,15.20
Pedralva,MG,11098,Não,50.87,56.5,27.11,1.00
São Jerônimo da Serra,PR,11088,Em elaboração,14.32,--,49.04,0
Iapu,MG,11085,Sim,36.06,29.51,30.55,0.40
Angélica,MS,11081,Sim,17.09,50.59,1.34,0
Urupá,RO,11081,Não,80.1,--,60.41,0
Aurelino Leal,BA,11079,Não,16.15,--,--,1.10
Itatuba,PB,11069,Não,46.43,--,64.44,5.00
Jardim Alegre,PR,11067,Sim,8.32,69.49,--,0
Dois Riachos,AL,11059,Sim,57.85,--,53.26,22.10
Mulungu,CE,11056,Sim,72.45,95.84,36.69,0
Pires Ferreira,CE,11052,Não,79.63,--,35.8,0
São Tomé,RN,11051,Em elaboração,24.89,69.33,--,--
Bananal,SP,11039,Não,19.45,24.07,20.21,1.30
Iuiú,BA,11038,Não,51.52,58.14,54.7,--
Itaueira,PI,11037,Em elaboração,26.75,--,44.29,1.30
Divinolândia,SP,11027,Sim,22.24,31.14,9.31,7.90
Afonso Bezerra,RN,11024,Não,47.33,56.4,--,--
Tacima,PB,11024,Sim,100.00,--,41.04,0
Uiramutã,RR,11014,Em elaboração,86.95,--,87.29,20.90
Caracol,PI,11009,Não,78.82,--,60.56,0
Delta,MG,10994,Sim,4.27,8.23,0.00,10.50
Mauá da Serra,PR,10994,Não,2.57,--,9.95,0
Arceburgo,MG,10990,Não,17.22,20.63,0.00,0
Manaíra,PB,10988,Não,20.31,44.48,27.19,0
Paraúna,GO,10988,Não,24.56,24.56,8.99,0
Ararendá,CE,10983,Sim,21.02,--,51.27,0
Calçado,PE,10983,Em elaboração,60.7,--,36.27,--
Bueno Brandão,MG,10982,Não,47.98,50.33,0.00,1.40
Matias Olímpio,PI,10979,Sim,39.18,--,--,--
São Tiago,MG,10979,Não,24.67,48.56,19.79,0
Carnaubais,RN,10972,Em elaboração,68.21,73.61,33.18,--
Rialma,GO,10961,Em elaboração,4.99,--,6.89,--
Rio do Fogo,RN,10961,Em elaboração,0.6,--,--,16.10
Apiúna,SC,10951,Sim,25.76,--,38.9,10.90
Capinzal do Norte,MA,10937,Em elaboração,--,--,--,--
Parapuã,SP,10934,Não,3.59,4.78,8.54,0.20
Governador Archer,MA,10931,Em elaboração,52.78,--,35.03,0
Prudente de Morais,MG,10931,Sim,15.19,44.52,3.91,--
Tenente Ananias,RN,10923,Em elaboração,31.94,0.00,0.00,1.90
Cacimbinhas,AL,10920,Sim,72.86,--,41.39,0
Laranja da Terra,ES,10919,Não,76.78,85.2,45.05,12.10
São Vicente do Seridó,PB,10919,Não,62.08,--,--,--
São Bento do Sapucaí,SP,10907,Sim,25.22,48.02,26.65,11.50
Arataca,BA,10904,Não,46.23,--,41.76,20.30
Lago do Junco,MA,10900,Em elaboração,68.97,--,81.65,0
Primavera,PA,10889,Em elaboração,--,--,12.76,0
Roseira,SP,10888,Sim,4.29,6.58,5.79,0
Jordânia,MG,10872,Em elaboração,37.73,--,--,--
Santa Maria de Itabira,MG,10867,Em elaboração,47.53,18.71,15.02,13.90
General Salgado,SP,10855,Sim,0.00,0.00,7.88,0.30
Parnaguá,PI,10846,Não,47.43,--,39.15,3.00
Vargem,SP,10842,Em elaboração,47.64,65.84,--,--
Milagres,BA,10838,Não,22.03,--,7.73,0
Juripiranga,PB,10830,Sim,44.13,--,0.00,2.50
Rincão,SP,10824,Sim,16.66,17.17,1.03,0
Itapuã do Oeste,RO,10819,Não,--,--,--,0
Miradouro,MG,10818,Não,45.78,--,--,12.50
Vera Cruz,SP,10804,Sim,13.92,21.61,13.06,0
Água Doce do Norte,ES,10801,Em elaboração,54.27,--,51.78,6.20
Novo Oriente de Minas,MG,10800,Sim,48.05,48.05,28.75,0.40
Chapadão do Céu,GO,10797,Sim,16.04,16.04,16.04,0
Juruaia,MG,10795,Não,53.19,51.13,51.13,0.50
Pirapetinga,MG,10791,Em elaboração,25.9,32.43,12.18,14.20
Mercês,MG,10775,Sim,31.94,0.00,30.01,3.20
Sete Quedas,MS,10751,Em elaboração,17.58,--,16.75,0
Jandaíra,BA,10742,Não,40.83,--,6.91,0.50
Piraúba,MG,10732,Em elaboração,27.27,6.52,15.00,0.40
Alto Rio Doce,MG,10723,Sim,58.64,49.71,58.3,0
Ouroeste,SP,10712,Em elaboração,0.00,0.00,0.00,0
Cedral,MA,10711,Em elaboração,--,--,--,--
Missal,PR,10706,Sim,31.27,--,48.25,0
Brotas de Macaúbas,BA,10705,Em elaboração,70.96,82.25,35.78,0
Centenário do Sul,PR,10704,Não,0.02,70.81,16.58,0.20
Gilbués,PI,10698,Sim,65.49,--,63.15,0.10
São Luís do Paraitinga,SP,10693,Não,41.37,46.43,8.35,19.40
Mirante da Serra,RO,10691,Não,75.35,--,--,--
Jaguari,RS,10684,Sim,43.07,--,43.07,15.90
Aragoiânia,GO,10680,Sim,35.14,--,6.37,0
Seberi,RS,10678,Sim,-0.15,--,29.34,0
Brejolândia,BA,10675,Sim,74.22,--,51.29,--
Cabeceiras do Piauí,PI,10671,Em elaboração,77.98,--,83.31,0
Babaçulândia,TO,10668,Em elaboração,42.76,--,52.72,0
Trajano de Moraes,RJ,10653,Em elaboração,70.33,--,--,--
Cajobi,SP,10649,Sim,1.21,1.21,6.5,0
Serra Caiada,RN,10646,Em elaboração,0.00,77.83,0.00,0
Santana do Mundaú,AL,10637,Não,48.13,64.44,45.56,83.30
Ronda Alta,RS,10633,Sim,32.81,--,0.00,1.00
Sucupira do Norte,MA,10631,Sim,61.32,--,52.66,0
Faxinal dos Guedes,SC,10630,Sim,2.72,27.6,27.6,0
Ribeirão Claro,PR,10622,Sim,0.00,33.65,23.18,0.60
Monte Alegre do Piauí,PI,10618,Não,61.89,--,--,--
Nova Floresta,PB,10614,Não,100.00,--,25.07,25.00
Caroebe,RR,10595,Não,51.54,--,62.25,--
Coité do Nóia,AL,10594,Não,77.6,--,65.8,--
Pirpirituba,PB,10590,Não,16.12,--,23.55,4.90
Santa Inês,BA,10583,Não,5.98,28.36,1.56,5.10
Irani,SC,10575,Não,16.48,--,--,1.30
Bujari,AC,10572,Em elaboração,46.2,98.56,47.98,0
Tapera,RS,10569,Sim,15.58,95.46,15.58,0.30
Monsenhor Gil,PI,10563,Em elaboração,30.42,--,17.16,1.90
Fernando Falcão,MA,10559,Em elaboração,--,--,--,--
Pariconha,AL,10546,Sim,24.28,--,51.64,0
São José do Jacuípe,BA,10546,Não,15.48,--,--,--
Grossos,RN,10541,Em elaboração,28.44,--,5.13,0
Nova Prata do Iguaçu,PR,10540,Em elaboração,5.22,--,41.54,0.30
São José do Calçado,ES,10536,Sim,33.7,12.49,9.83,4.70
Bom Repouso,MG,10527,Não,46.85,48.38,0.00,0
Floresta Azul,BA,10525,Não,31.27,--,15.8,5.00
Rio Acima,MG,10524,Não,0.99,13.47,4.98,17.10
Recreio,MG,10522,Não,0.04,11.94,11.92,12.00
Santa Teresinha,BA,10520,Não,29.81,58.63,49.22,3.10
Érico Cardoso,BA,10513,Não,28.87,--,48.38,0
Campos Lindos,TO,10505,Em elaboração,30.4,--,27.46,0
Arraias,TO,10502,Em elaboração,21.79,--,4.78,1.50
Guadalupe,PI,10496,Não,1.71,31.15,--,--
Santa Cruz do Arari,PA,10496,Não,10.49,--,50.87,0
Sarapuí,SP,10493,Sim,9.75,49.16,8.48,4.70
Umarizal,RN,10485,Em elaboração,2.62,--,--,--
Arroio do Sal,RS,10483,Em elaboração,15.59,--,4.61,1.20
Beneditinos,PI,10479,Sim,35.29,--,23.66,0
Senhora dos Remédios,MG,10474,Sim,33.65,55.16,55.12,8.90
Jitaúna,BA,10470,Não,34.4,--,--,--
Mulungu do Morro,BA,10469,Não,31.05,--,24.95,0
Cristino Castro,PI,10464,Em elaboração,20.65,--,27.25,7.90
Jatobá,MA,10464,Não,70.33,--,56.14,0.90
Espírito Santo,RN,10463,Em elaboração,29.75,84.17,--,--
Virginópolis,MG,10459,Sim,39.4,3.03,29.8,3.50
Ribeirão Cascalheira,MT,10450,Em elaboração,38.00,--,71.29,0
Natuba,PB,10449,Não,63.59,--,--,--
São Miguel do Gostoso,RN,10441,Sim,88.99,52.72,--,25.00
Itarana,ES,10433,Sim,37.8,54.08,32.91,36.50
Apiacás,MT,10431,Sim,55.42,--,0.00,0.90
Branquinha,AL,10426,Não,64.51,64.51,0.38,--
Paranã,TO,10426,Não,46.51,--,54.34,0
Arvorezinha,RS,10422,Em elaboração,38.65,--,--,0
Catunda,CE,10410,Sim,58.44,--,0.00,0
Santa Maria Madalena,RJ,10380,Em elaboração,58.8,43.06,0.12,9.20
Água Branca,PB,10375,Em elaboração,78.92,56.63,57.02,0.70
Dona Inês,PB,10375,Sim,100.00,--,49.88,0
Januário Cicco,RN,10367,Em elaboração,40.51,--,--,--
Cachoeira dos Índios,PB,10364,Não,55.36,64.35,32.46,0
Florestópolis,PR,10360,Sim,0.02,17.25,--,--
Marcionílio Souza,BA,10357,Não,33.03,--,13.1,3.60
Ninheira,MG,10355,Em elaboração,73.22,--,48.15,--
Riachuelo,SE,10354,Em elaboração,19.23,--,0.00,11.30
Pintadas,BA,10353,Em elaboração,34.55,49.24,43.53,1.00
Conceição da Aparecida,MG,10351,Não,40.18,37.05,34.31,0
Theobroma,RO,10348,Em elaboração,91.38,--,--,--
Barracão,PR,10347,Não,20.9,--,24.53,0
Dário Meira,BA,10347,Em elaboração,60.57,--,--,--
Centralina,MG,10343,Sim,25.84,63.54,--,--
Serrano do Maranhão,MA,10343,Não,--,--,--,--
Buenópolis,MG,10342,Sim,37.76,44.26,22.52,3.10
Aruanã,GO,10340,Não,20.02,57.2,12.96,0
Jacinto Machado,SC,10337,Sim,6.16,--,32.28,4.00
Urucânia,MG,10333,Sim,27.98,0.00,--,0.90
Mariluz,PR,10327,Em elaboração,0.26,52.55,17.19,0
Bom Jesus,RN,10323,Em elaboração,0.00,--,28.31,--
Terra Nova,PE,10314,Não,0.03,--,21.47,17.10
Francisco Badaró,MG,10311,Não,58.57,84.97,64.32,3.60
Guaraciaba,MG,10307,Sim,67.81,70.38,37.00,11.80
Carmo do Rio Verde,GO,10299,Em elaboração,21.03,--,--,--
Maiquinique,BA,10294,Não,21.31,--,22.28,1.20
Dores de Campos,MG,10291,Em elaboração,0.00,9.06,9.06,24.50
Itapitanga,BA,10284,Não,20.3,25.42,25.63,21.40
Bela Vista de Minas,MG,10269,Sim,22.83,6.32,2.07,0.80
Rubim,MG,10269,Sim,28.94,25.02,22.34,--
Piripá,BA,10253,Não,51.63,--,59.04,18.50
Petrolina de Goiás,GO,10240,Sim,33.06,--,77.34,0
Pescaria Brava,SC,10225,Sim,63.95,--,0.00,--
Paranaiguara,GO,10221,Não,1.09,1.38,7.83,0
Cristina,MG,10211,Não,0.11,1.09,10.04,--
Porangaba,SP,10205,Sim,11.62,63.35,26.51,3.30
Nova Veneza,GO,10193,Em elaboração,14.94,--,13.57,0
Uchoa,SP,10191,Sim,0.39,0.39,7.07,0.30
Fontoura Xavier,RS,10181,Sim,61.75,--,--,0
Luís Gomes,RN,10175,Em elaboração,44.7,--,30.43,0
Dumont,SP,10174,Sim,--,--,--,--
Itapebi,BA,10173,Não,21.26,--,21.22,4.30
Piranhas,GO,10161,Não,12.68,--,19.49,0
Ipuiúna,MG,10156,Não,28.63,45.23,--,--
Bom Retiro,SC,10153,Sim,24.76,--,14.86,15.20
Sinimbu,RS,10152,Sim,49.82,--,42.87,0.30
Catanduvas,PR,10144,Em elaboração,25.78,--,9.5,0.50
Porto Xavier,RS,10144,Sim,50.65,--,37.4,4.60
Alfredo Wagner,SC,10136,Sim,61.21,--,73.62,24.00
Nova Aurora,PR,10131,Sim,0.02,27.74,9.87,0
Itamogi,MG,10122,Não,26.42,--,6.15,0
São João,PR,10122,Sim,7.15,44.77,9.11,1.60
Governador Newton Bello,MA,10121,Não,63.62,--,--,--
Bonfinópolis,GO,10120,Em elaboração,9.12,--,8.5,0
Marcelândia,MT,10107,Em elaboração,0.00,--,11.69,0
Carneirinho,MG,10103,Sim,34.78,39.27,26.36,0
Torrinha,SP,10100,Sim,6.59,8.69,7.62,0.70
Carlinda,MT,10094,Em elaboração,58.37,--,49.08,0
Nova Bassano,RS,10089,Não,37.63,--,37.63,4.80
Sigefredo Pacheco,PI,10074,Não,23.57,--,37.81,0
Santa Tereza do Oeste,PR,10055,Não,0.02,--,--,1.20
Botuporã,BA,10050,Não,49.19,78.36,47.9,0
Piraí do Norte,BA,10050,Em elaboração,62.67,--,50.25,8.30
Reginópolis,SP,10047,Em elaboração,7.93,58.08,40.43,1.70
Iretama,PR,10029,Em elaboração,8.97,--,51.64,2.20
Corumbaíba,GO,10012,Sim,19.36,23.6,22.9,0
Anísio de Abreu,PI,9994,Em elaboração,42.07,--,26.01,0
Bom Jesus do Norte,ES,9988,Em elaboração,10.00,10.00,8.2,30.00
Itapeva,MG,9976,Sim,49.8,58.69,45.01,--
Manduri,SP,9972,Sim,7.54,8.24,10.19,0
Guaraciaba,SC,9964,Sim,36.74,--,53.09,0.10
Mulungu,PB,9962,Não,46.44,--,--,--
Nova Campina,SP,9962,Sim,32.58,44.24,4.64,1.90
Planalto,RS,9957,Sim,35.18,64.85,43.26,0
Ipupiara,BA,9954,Não,32.98,58.3,19.63,0
Monte Carlo,SC,9945,Sim,9.5,--,19.56,0
Rinópolis,SP,9940,Sim,--,--,13.08,0
Glória de Dourados,MS,9934,Em elaboração,0.04,82.89,22.74,0
Santo Antônio das Missões,RS,9930,Sim,39.45,--,0.00,--
Umbuzeiro,PB,9914,Não,70.03,--,--,--
Constantina,RS,9903,Sim,33.24,--,0.00,0
Coronel Freitas,SC,9900,Sim,26.37,--,29.29,2.20
Coroaci,MG,9897,Sim,47.49,43.63,--,--
São João do Ivaí,PR,9897,Não,0.01,28.38,0.00,0
Capim Branco,MG,9896,Não,10.91,80.15,8.9,0
São Sebastião do Maranhão,MG,9884,Em elaboração,71.06,79.82,38.99,0
Saudades,SC,9874,Sim,0.00,--,0.00,8.90
Ipiranga do Piauí,PI,9863,Em elaboração,37.7,--,32.58,0
Ariranha,SP,9851,Em elaboração,--,--,5.3,0
Arauá,SE,9840,Em elaboração,15.37,--,34.96,5.60
Juru,PB,9831,Não,42.38,51.17,55.64,0
Pureza,RN,9825,Não,58.74,--,33.84,--
Axixá do Tocantins,TO,9817,Sim,--,--,--,--
Formoso,MG,9810,Não,40.06,--,21.75,0
Iaras,SP,9786,Em elaboração,67.02,67.77,48.91,0
Quilombo,SC,9773,Sim,20.7,--,43.93,0.30
Florânia,RN,9772,Em elaboração,9.05,23.47,20.01,2.80
Bom Jesus da Serra,BA,9768,Não,70.46,--,45.02,0
Lontra,MG,9766,Sim,50.74,78.99,28.32,0
Imaruí,SC,9764,Sim,67.23,--,54.78,0
Guia Lopes da Laguna,MS,9754,Sim,16.1,42.93,15.26,0.60
Cavalcante,GO,9740,Em elaboração,48.39,--,49.51,0.30
Pedrinhas,SE,9727,Em elaboração,63.03,--,17.75,0
Alto Piquiri,PR,9722,Não,0.01,33.94,17.71,1.90
Frei Inocêncio,MG,9716,Sim,32.61,--,--,--
Candiota,RS,9707,Sim,67.03,71.15,38.19,0
Manoel Urbano,AC,9701,Em elaboração,30.23,--,33.87,5.80
Deputado Irapuan Pinheiro,CE,9698,Sim,31.12,--,54.72,0
Canápolis,BA,9694,Sim,50.42,78.82,32.95,0
Augusto Severo,RN,9686,Em elaboração,33.12,--,42.18,2.10
Lagoa Grande,MG,9681,Sim,30.96,26.53,--,--
Rondon,PR,9664,Sim,0.01,42.16,--,--
Herculândia,SP,9649,Não,8.91,9.48,8.91,0.50
Igaratá,SP,9631,Sim,40.46,73.13,4.08,0
Denise,MT,9626,Sim,--,--,14.44,0
Águia Branca,ES,9621,Não,71.04,67.95,42.83,0
Sairé,PE,9600,Não,0.00,--,16.67,0.20
Paula Cândido,MG,9597,Sim,46.2,42.69,0.00,11.80
Campo Grande,AL,9576,Em elaboração,18.17,--,--,--
Ferros,MG,9576,Sim,68.05,80.1,58.31,22.10
Dom Inocêncio,PI,9574,Não,--,--,--,--
Japurá,PR,9573,Sim,10.87,28.71,3.54,0.20
Verdejante,PE,9572,Sim,0.00,6.06,44.09,--
Carneiros,AL,9568,Não,36.34,--,--,0
Agudos do Sul,PR,9567,Sim,37.36,80.1,43.03,0
Pau Brasil,BA,9550,Em elaboração,32.18,--,--,--
Rodelas,BA,9548,Não,5.32,5.32,5.74,0
Novo Mundo,MT,9545,Em elaboração,--,--,--,--
Verdelândia,MG,9527,Não,47.41,--,35.95,4.20
Cachoeira Grande,MA,9524,Em elaboração,--,--,--,--
Araújos,MG,9523,Sim,13.59,17.05,0.00,--
Buriti Alegre,GO,9515,Não,5.93,84.53,10.01,0
Olho d'Água do Casado,AL,9507,Em elaboração,41.76,--,52.14,0
Terra Roxa,SP,9502,Em elaboração,14.47,10.4,4.68,0.50
Cumaru,PE,9494,Não,21.5,--,--,--
Ilha Grande,PI,9487,Sim,3.64,38.23,14.62,5.10
Triunfo,PB,9473,Não,57.61,--,53.27,5.00
Riacho dos Machados,MG,9471,Em elaboração,51.00,71.37,53.05,5.00
Cachoeira de Pajeú,MG,9470,Não,43.46,--,40.00,32.50
Ministro Andreazza,RO,9461,Não,70.31,--,70.31,--
Palhano,CE,9458,Não,65.53,0.61,49.27,8.30
Cedral,SP,9452,Em elaboração,21.77,21.77,20.88,0
Roncador,PR,9447,Sim,0.01,--,38.29,0.10
Pirambu,SE,9436,Em elaboração,8.66,--,7.8,0
Ananás,TO,9435,Não,8.83,61.78,14.7,0
Sítio do Quinto,BA,9431,Não,43.23,--,--,--
Carbonita,MG,9423,Não,17.8,39.87,31.02,0
Francisco Santos,PI,9423,Em elaboração,48.08,--,47.32,0
São Domingos,SC,9422,Sim,16.36,71.69,33.49,--
São Sebastião do Alto,RJ,9416,Em elaboração,49.15,--,0.00,--
Planaltino,BA,9415,Não,58.77,--,--,--
Rio das Flores,RJ,9401,Sim,30.39,38.05,30.39,1.20
Arenápolis,MT,9399,Sim,3.18,--,4.25,0
Salto Grande,SP,9396,Em elaboração,0.00,0.00,9.72,0
Cardeal da Silva,BA,9395,Não,19.95,--,37.2,76.30
Nazário,GO,9375,Não,26.3,--,25.33,--
Nova Monte Verde,MT,9375,Em elaboração,81.33,--,45.45,0
Baía Formosa,RN,9373,Sim,8.46,--,0.14,10.70
Japorã,MS,9372,Sim,82.06,82.37,0.00,0.40
Tabaporã,MT,9357,Em elaboração,--,--,--,--
Wagner,BA,9342,Não,27.88,--,14.37,0
Jaçanã,RN,9341,Em elaboração,34.27,55.04,32.71,0
Caputira,MG,9318,Sim,62.29,49.56,30.99,36.80
Itapiranga,AM,9312,Em elaboração,10.74,--,21.43,--
Caturama,BA,9303,Não,50.9,83.98,43.72,0
Silves,AM,9289,Em elaboração,13.88,--,52.29,0.40
Terra Nova do Norte,MT,9284,Não,22.47,--,67.69,0.30
Euclides da Cunha Paulista,SP,9280,Não,30.5,38.98,--,--
Vila Pavão,ES,9280,Não,66.11,67.56,65.43,0
Mambaí,GO,9277,Sim,31.86,--,7.42,0
Açucena,MG,9270,Sim,63.65,52.54,43.91,0.40
Passo de Torres,SC,9269,Sim,7.34,--,8.3,0.80
Tunas do Paraná,PR,9269,Não,46.1,--,42.82,0
Amapá,AP,9265,Em elaboração,76.23,95.5,0.00,0
Murici dos Portelas,PI,9258,Em elaboração,73.43,--,80.05,4.70
Natividade,TO,9256,Em elaboração,14.36,--,20.05,0
Várzea do Poço,BA,9247,Sim,18.94,78.37,35.11,0
Mara Rosa,GO,9234,Sim,17.25,33.45,25.24,0
Antônio Dias,MG,9233,Sim,60.64,--,--,--
Chapada,RS,9211,Em elaboração,40.57,--,29.71,0
Santa Maria do Oeste,PR,9210,Sim,46.12,--,56.57,0
Bálsamo,SP,9209,Em elaboração,0.00,0.00,0.00,0
Coronel Murta,MG,9209,Não,30.01,63.04,26.58,0
Penaforte,CE,9207,Não,48.01,--,20.01,0
Baía da Traição,PB,9197,Não,34.76,--,--,--
Palmeira d'Oeste,SP,9173,Não,2.23,3.18,24.17,0
Vista Alegre do Alto,SP,9163,Em elaboração,0.00,0.00,7.76,0
Abadia de Goiás,GO,9158,Sim,28.06,64.00,31.97,0
Prados,MG,9128,Sim,30.08,30.82,17.3,--
Nova Redenção,BA,9126,Não,20.74,--,51.79,0
Rafard,SP,9126,Sim,0.00,0.00,0.00,0.40
Urânia,SP,9125,Não,1.53,2.21,15.85,0
Palmeiras,BA,9123,Não,37.83,54.46,19.43,--
Anaurilândia,MS,9116,Sim,49.62,77.67,49.11,0
Santa Rita do Araguaia,GO,9110,Não,13.00,--,11.05,0
Coqueiral,MG,9099,Não,16.64,20.6,29.08,0.80
Iporã do Oeste,SC,9093,Sim,33.86,--,50.98,0
Dobrada,SP,9088,Sim,2.23,2.23,2.45,0
São Domingos,BA,9085,Não,22.15,--,0.00,0
Antônio João,MS,9082,Em elaboração,17.64,62.01,16.81,0
Casca,RS,9070,Sim,41.16,--,0.00,2.80
Montes Altos,MA,9064,Não,47.54,--,--,--
Nova Maringá,MT,9056,Sim,31.36,--,31.36,0
Siriri,SE,9046,Sim,62.67,--,44.73,0
Queimada Nova,PI,9041,Não,68.4,--,86.48,0.30
São Jorge d'Oeste,PR,9005,Sim,14.38,--,42.61,3.20
Vicentinópolis,GO,9002,Não,0.00,--,14.24,--
Pantano Grande,RS,8995,Sim,15.98,--,0.00,1.20
São José da Bela Vista,SP,8991,Em elaboração,0.00,0.00,10.96,0
Douradina,PR,8988,Não,0.01,--,34.98,0.10
Santanópolis,BA,8987,Não,59.33,--,66.62,0
Brejão,PE,8981,Sim,49.91,--,38.76,0
Paulo de Faria,SP,8973,Sim,8.31,9.48,9.77,0
Itauçu,GO,8968,Não,23.35,33.97,24.72,8.10
Sítio Novo do Tocantins,TO,8965,Sim,46.72,77.69,13.55,0.50
Rio Novo,MG,8964,Em elaboração,25.31,1.19,13.46,5.40
Morada Nova de Minas,MG,8955,Sim,25.57,46.61,23.41,1.40
Quixabeira,BA,8939,Em elaboração,9.93,--,39.46,0
Guarani,MG,8926,Sim,20.89,20.89,20.76,0.50
Neves Paulista,SP,8917,Em elaboração,9.57,9.57,9.76,0
Bom Jardim de Goiás,GO,8912,Não,23.51,--,0.00,0
Caém,BA,8912,Não,15.98,94.3,32.68,0
Cordisburgo,MG,8903,Sim,34.39,63.63,31.23,2.00
Santa Rita de Caldas,MG,8900,Não,40.8,50.61,37.36,--
Congonhinhas,PR,8896,Sim,33.97,--,41.61,0
Clementina,SP,8894,Em elaboração,4.69,4.69,0.00,0
Filadélfia,TO,8892,Não,25.2,--,38.15,0
Santa Lúcia,SP,8889,Sim,7.21,7.21,5.98,0.20
