Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
São Paulo,SP,12396372,Sim,0.00,0.00,0.01,0.01
Rio de Janeiro,RJ,6775561,Sim,0.00,0.10,0.00,0.20
Brasília,DF,3094325,Em elaboração,0.01,0.08,0.02,0.00
Salvador,BA,2900319,Sim,1.17,0.12,0.03,0.00
Fortaleza,CE,2703391,Sim,0.24,0.44,0.01,0.01
Belo Horizonte,MG,2530701,Sim,0.05,0.06,0.04,0.02
Manaus,AM,2255903,Em elaboração,0.03,0.75,0.01,0.08
Curitiba,PR,1963726,Sim,0.00,0.00,0.00,0.00
Recife,PE,1661017,Em elaboração,0.04,0.55,0.00,0.13
Goiânia,GO,1555626,Em elaboração,0.01,0.07,0.00,0.00
Belém,PA,1506420,Em elaboração,0.23,0.83,0.04,0.04
Porto Alegre,RS,1492530,Sim,0.00,0.08,0.00,0.01
Guarulhos,SP,1404694,Não,0.00,0.08,0.00,0.03
Campinas,SP,1223237,Não,0.02,0.05,0.00,0.02
São Luís,MA,1115932,Em elaboração,0.14,0.50,0.00,0.00
São Gonçalo,RJ,1098357,Sim,0.10,0.66,0.00,0.08
Maceió,AL,1031597,Em elaboração,0.13,0.76,0.00,0.03
Duque de Caxias,RJ,929449,Em elaboração,0.11,0.63,0.00,0.14
Campo Grande,MS,916001,Sim,0.00,0.12,0.01,0.37
Natal,RN,896708,Em elaboração,0.06,0.56,0.01,0.00
Teresina,PI,871126,Em elaboração,0.05,0.61,0.04,0.00
São Bernardo do Campo,SP,849874,Sim,0.00,0.01,0.01,0.00
João Pessoa,PB,825796,Sim,0.00,0.16,0.00,0.01
Nova Iguaçu,RJ,825388,Sim,0.23,0.44,0.01,0.08
São José dos Campos,SP,737310,Sim,0.00,0.00,0.01,0.00
Santo André,SP,723889,Sim,0.00,0.00,0.00,0.04
Ribeirão Preto,SP,720116,Sim,0.00,0.01,0.00,0.00
Jaboatão dos Guararapes,PE,711330,Não,0.20,0.78,0.02,0.06
Uberlândia,MG,706597,Sim,0.00,0.02,0.01,0.00
Osasco,SP,701428,Sim,0.00,0.00,0.00,0.02
Sorocaba,SP,695328,Sim,0.02,0.02,0.00,0.00
Contagem,MG,673849,Sim,0.14,0.19,0.00,0.10
Aracaju,SE,672614,Em elaboração,0.02,0.45,0.00,0.02
Feira de Santana,BA,624107,Em elaboração,0.10,0.45,0.08,0.03
Cuiabá,MT,623614,Sim,0.02,0.24,0.04,0.01
Joinville,SC,604708,Sim,0.00,0.60,0.00,0.19
Aparecida de Goiânia,GO,601844,Em elaboração,0.21,0.41,0.00,--
Londrina,PR,580870,Sim,0.00,0.00,0.01,0.00
Juiz de Fora,MG,577532,Sim,0.04,0.05,0.00,0.02
Porto Velho,RO,548952,Em elaboração,0.74,0.94,0.21,0.00
Ananindeua,PA,540410,Em elaboração,0.66,0.69,0.01,0.11
Serra,ES,536765,Sim,0.05,0.21,0.01,0.01
Caxias do Sul,RS,523716,Em elaboração,0.02,0.11,0.00,0.00
Macapá,AP,522357,Em elaboração,0.63,0.89,0.00,0.00
Niterói,RJ,516981,Sim,0.00,0.04,0.00,0.05
Florianópolis,SC,516524,Sim,0.00,0.34,0.00,0.01
Belford Roxo,RJ,515239,Sim,0.00,0.57,0.30,0.34
Campos dos Goytacazes,RJ,514643,Sim,0.02,0.14,0.01,0.48
Vila Velha,ES,508655,Sim,0.02,0.38,0.00,0.00
Mauá,SP,481725,Sim,0.27,0.07,0.00,0.00
São João de Meriti,RJ,473385,Sim,0.00,0.40,0.00,0.01
São José do Rio Preto,SP,469173,Em elaboração,0.00,0.06,0.00,0.00
Mogi das Cruzes,SP,455587,Em elaboração,0.09,0.14,0.04,0.18
Betim,MG,450024,Em elaboração,0.12,0.22,0.01,0.00
Boa Vista,RR,436591,Sim,0.02,0.08,0.02,0.00
Maringá,PR,436472,Sim,0.00,0.00,0.02,0.00
Santos,SP,433991,Sim,0.00,0.00,0.00,0.05
Diadema,SP,429550,Não,0.00,0.00,0.00,0.00
Jundiaí,SP,426935,Em elaboração,0.01,0.02,0.04,0.00
Rio Branco,AC,419452,Em elaboração,0.39,0.77,0.03,0.02
Montes Claros,MG,417478,Sim,0.16,0.15,0.01,0.00
Campina Grande,PB,413830,Sim,0.00,0.06,0.08,0.00
Piracicaba,SP,410275,Sim,0.00,0.00,0.00,0.04
Carapicuíba,SP,405375,Sim,0.00,0.15,0.00,0.02
Anápolis,GO,396526,Em elaboração,0.02,0.21,0.04,0.00
Olinda,PE,393734,Não,0.00,0.54,0.00,0.00
Cariacica,ES,386495,Sim,0.09,0.62,0.01,0.01
Bauru,SP,381706,Sim,0.00,0.00,0.00,0.00
Itaquaquecetuba,SP,379082,Sim,0.00,0.27,0.00,0.01
São Vicente,SP,370839,Sim,0.09,0.21,0.00,0.03
Vitória,ES,369534,Sim,0.02,0.13,0.00,0.00
Caruaru,PE,369343,Sim,0.00,0.45,0.00,0.02
Caucaia,CE,368918,Sim,0.38,0.64,0.11,0.00
Blumenau,SC,366418,Sim,0.00,0.54,0.02,0.15
Petrolina,PE,359372,Não,0.00,0.16,0.13,0.00
Ponta Grossa,PR,358838,Sim,0.00,0.00,0.01,0.00
Franca,SP,358539,Em elaboração,0.00,0.00,0.02,0.00
Canoas,RS,349728,Sim,0.00,0.48,0.00,0.03
Pelotas,RS,343826,Em elaboração,0.00,0.39,0.02,0.00
Vitória da Conquista,BA,343643,Em elaboração,0.02,0.17,0.10,0.00
Ribeirão das Neves,MG,341415,Sim,0.19,0.29,0.01,0.00
Uberaba,MG,340277,Sim,0.00,0.02,0.01,0.00
Paulista,PE,336919,Em elaboração,0.00,0.46,0.00,0.07
Praia Grande,SP,336454,Sim,0.09,0.25,0.00,0.01
Cascavel,PR,336073,Sim,0.00,0.00,0.02,0.00
São José dos Pinhais,PR,334620,Sim,0.00,0.16,0.00,0.00
Guarujá,SP,324977,Em elaboração,0.18,0.30,0.00,0.45
Taubaté,SP,320820,Sim,0.00,0.00,0.00,0.00
Palmas,TO,313349,Sim,0.01,0.09,0.00,0.00
Limeira,SP,310783,Sim,0.03,0.03,0.03,0.00
Camaçari,BA,309208,Sim,0.04,0.55,0.06,0.00
Santarém,PA,308339,Sim,0.49,0.96,0.14,0.07
Petrópolis,RJ,307144,Sim,0.03,0.15,0.01,0.01
Mossoró,RN,303792,Em elaboração,0.07,0.49,0.01,0.05
Suzano,SP,303397,Em elaboração,0.00,0.00,0.00,0.05
Taboão da Serra,SP,297528,Sim,0.00,0.00,0.00,0.02
Várzea Grande,MT,290383,Em elaboração,0.02,0.71,0.17,0.00
Sumaré,SP,289875,Sim,0.01,0.01,0.00,0.00
Marabá,PA,287664,Sim,0.67,0.99,0.13,0.04
Gravataí,RS,285564,Sim,0.05,0.59,0.00,0.01
Santa Maria,RS,285159,Sim,0.05,0.37,0.00,0.05
Governador Valadares,MG,282164,Sim,0.01,0.03,0.04,0.10
Barueri,SP,279704,Sim,0.00,0.00,0.00,0.00
Embu das Artes,SP,279264,Sim,0.00,0.19,0.00,0.01
Juazeiro do Norte,CE,278264,Sim,0.24,0.76,0.03,0.00
Volta Redonda,RJ,274925,Sim,0.00,0.01,0.00,0.00
Parnamirim,RN,272490,Em elaboração,0.00,0.93,0.00,0.00
Ipatinga,MG,267333,Sim,0.15,0.08,0.00,0.00
Macaé,RJ,266136,Sim,0.09,0.11,0.02,0.00
Indaiatuba,SP,260690,Sim,0.04,0.05,0.01,0.00
Imperatriz,MA,259980,Sim,0.12,0.70,0.00,0.03
Foz do Iguaçu,PR,257971,Sim,0.00,0.00,0.00,0.01
Cotia,SP,257882,Sim,0.00,0.41,0.00,0.00
Viamão,RS,257330,Sim,0.07,0.94,0.03,0.00
São Carlos,SP,256915,Sim,0.04,0.04,0.00,0.01
São José,SC,253705,Em elaboração,0.00,0.52,0.00,0.00
Colombo,PR,249277,Sim,0.00,0.25,0.00,0.00
Magé,RJ,247741,Não,0.80,0.95,0.06,0.41
Novo Hamburgo,RS,247303,Em elaboração,0.03,0.92,0.00,0.05
Rio Verde,GO,247259,Sim,0.10,0.13,0.07,0.00
Itaboraí,RJ,244416,Sim,0.79,0.79,0.04,0.00
Americana,SP,244370,Sim,0.00,0.00,0.00,0.00
Itapevi,SP,244131,Sim,0.00,0.28,0.00,0.05
Sete Lagoas,MG,243950,Sim,0.00,0.04,0.00,0.00
Divinópolis,MG,242505,Sim,0.06,0.15,0.03,0.03
Marília,SP,242249,Sim,0.00,0.00,0.04,0.00
Araraquara,SP,240542,Sim,0.03,0.03,0.02,0.00
São Leopoldo,RS,240378,Sim,0.00,0.83,0.00,0.01
Rondonópolis,MT,239613,Em elaboração,0.00,0.04,0.01,--
Hortolândia,SP,237570,Sim,0.00,0.00,0.00,0.00
Jacareí,SP,237119,Sim,0.00,0.01,0.00,0.05
Arapiraca,AL,234309,Em elaboração,0.05,0.98,0.00,0.00
Cabo Frio,RJ,234077,Sim,0.02,0.20,0.10,0.05
Presidente Prudente,SP,231953,Sim,0.00,0.00,0.00,0.00
Maracanaú,CE,230986,Em elaboração,0.40,0.67,0.01,0.00
Dourados,MS,227990,Em elaboração,0.09,0.14,0.08,0.01
Chapecó,SC,227587,Sim,0.03,0.60,0.08,0.10
Itajaí,SC,226617,Sim,0.02,0.72,0.00,0.81
Águas Lindas de Goiás,GO,222850,Em elaboração,0.03,0.54,0.00,0.00
Santa Luzia,MG,221705,Sim,0.24,0.32,0.00,0.26
Juazeiro,BA,219544,Sim,0.01,0.14,0.09,0.00
Criciúma,SC,219393,Sim,0.00,0.66,0.00,0.01
Parauapebas,PA,218787,Em elaboração,0.11,0.85,0.04,--
Luziânia,GO,214645,Em elaboração,0.08,0.79,0.08,0.00
Itabuna,BA,214123,Sim,0.00,0.18,0.04,0.30
Rio Grande,RS,212881,Sim,0.04,0.68,0.00,--
Sobral,CE,212437,Sim,0.02,0.04,0.01,0.02
Alvorada,RS,212352,Sim,0.00,0.64,0.00,0.03
Cachoeiro de Itapemirim,ES,212172,Sim,0.00,0.00,0.05,--
Cabo de Santo Agostinho,PE,210796,Não,0.08,0.88,0.09,0.01
Angra dos Reis,RJ,210171,Sim,0.14,0.45,0.03,0.10
Rio Claro,SP,209548,Em elaboração,0.00,0.01,0.00,0.01
Passo Fundo,RS,206103,Sim,0.03,0.60,0.00,0.01
Castanhal,PA,205667,Não,0.79,0.99,0.00,0.03
Lauro de Freitas,BA,204669,Em elaboração,0.02,0.57,0.02,0.10
Araçatuba,SP,199210,Não,0.02,0.03,0.05,0.01
Ferraz de Vasconcelos,SP,198661,Sim,0.00,0.14,0.04,0.18
Santa Bárbara d'Oeste,SP,195278,Sim,0.01,0.02,0.00,--
Nova Friburgo,RJ,191664,Sim,0.13,0.16,0.02,0.07
Nossa Senhora do Socorro,SE,187733,Não,0.08,0.68,0.00,0.00
Araguaína,TO,186245,Sim,0.03,0.68,0.05,0.00
Teresópolis,RJ,185820,Sim,0.11,--,0.00,0.01
Barra Mansa,RJ,185237,Sim,0.01,0.11,0.00,0.04
Jaraguá do Sul,SC,184579,Sim,0.04,0.15,0.00,0.09
Ibirité,MG,184030,Não,0.17,0.33,0.09,0.02
Guarapuava,PR,183755,Sim,0.00,0.05,0.09,0.03
São José de Ribamar,MA,180345,Em elaboração,0.78,0.91,0.39,0.10
Linhares,ES,179755,Sim,0.00,0.25,0.04,0.02
Itapecerica da Serra,SP,179574,Sim,0.01,0.48,0.05,0.01
Francisco Morato,SP,179372,Não,0.00,0.51,0.01,0.03
Palhoça,SC,178679,Em elaboração,0.08,0.84,0.00,0.00
Itu,SP,177150,Sim,0.12,0.16,0.00,0.00
Mesquita,RJ,177016,Em elaboração,0.00,0.49,0.00,0.00
Valparaíso de Goiás,GO,175720,Não,0.01,0.48,0.00,0.00
Bragança Paulista,SP,172346,Sim,0.00,0.09,0.00,0.00
Pindamonhangaba,SP,171885,Sim,0.00,0.00,0.00,0.00
Timon,MA,171317,Sim,0.07,0.97,0.14,0.00
Poços de Caldas,MG,169838,Não,0.00,0.00,0.00,0.00
Maricá,RJ,167668,Sim,0.63,0.95,0.00,0.00
Itapetininga,SP,167106,Sim,0.00,0.04,0.00,0.00
Caxias,MA,166159,Em elaboração,0.19,0.95,0.10,0.01
Teixeira de Freitas,BA,164290,Sim,0.08,0.44,0.01,0.01
Nilópolis,RJ,162893,Em elaboração,0.00,0.50,0.00,0.08
São Caetano do Sul,SP,162763,Sim,0.00,0.00,0.00,0.03
Abaetetuba,PA,160439,Em elaboração,0.87,--,0.29,0.01
Camaragibe,PE,159945,Não,0.21,0.99,0.00,0.03
Rio das Ostras,RJ,159529,Em elaboração,0.31,0.73,0.03,0.00
Franco da Rocha,SP,158438,Sim,0.02,0.32,0.00,0.00
Barreiras,BA,158432,Em elaboração,0.04,0.28,0.00,0.00
Ilhéus,BA,157639,Não,0.08,0.38,0.10,0.05
Paranaguá,PR,157378,Sim,0.04,0.12,0.04,0.00
Lages,SC,157158,Sim,0.02,0.58,0.04,0.04
Jequié,BA,156277,Não,0.09,0.19,0.05,0.18
Patos de Minas,MG,154641,Não,0.13,0.15,0.07,0.01
Pouso Alegre,MG,154293,Em elaboração,0.13,0.13,0.08,0.04
Mogi Guaçu,SP,154146,Sim,0.05,0.08,0.05,0.00
Parnaíba,PI,153863,Não,-0.03,0.48,0.06,0.05
Jaú,SP,153463,Sim,0.03,0.03,0.00,0.02
Alagoinhas,BA,153023,Sim,0.03,0.64,0.22,--
Porto Seguro,BA,152529,Em elaboração,0.23,0.38,0.18,--
Queimados,RJ,152311,Não,0.09,0.62,0.00,0.00
Botucatu,SP,149718,Sim,0.00,0.00,0.00,0.00
Balneário Camboriú,SC,149227,Sim,0.00,0.05,0.00,0.00
Sinop,MT,148960,Sim,0.17,0.41,0.17,0.00
Araucária,PR,148522,Sim,0.00,0.11,0.02,0.01
Atibaia,SP,145378,Sim,0.09,0.26,0.01,0.03
Santana de Parnaíba,SP,145073,Sim,0.00,0.40,0.00,0.00
Toledo,PR,144601,Sim,0.00,0.06,0.02,0.00
Sapucaia do Sul,RS,142508,Sim,0.00,0.91,0.00,0.20
Garanhuns,PE,141347,Em elaboração,0.00,0.87,0.12,0.00
Teófilo Otoni,MG,141269,Sim,0.30,0.37,0.01,0.10
Cametá,PA,140814,Não,0.03,--,0.42,--
Brusque,SC,140597,Sim,0.00,--,0.00,0.20
Vitória de Santo Antão,PE,140389,Sim,0.22,0.72,0.70,0.11
Barbacena,MG,139061,Sim,0.08,0.17,0.05,0.00
Santa Rita,PB,138093,Não,0.11,0.97,0.00,--
Sabará,MG,137877,Sim,0.23,0.37,0.00,0.28
Varginha,MG,137608,Sim,0.08,0.09,0.03,0.00
Apucarana,PR,137438,Em elaboração,0.00,0.10,0.06,0.00
Simões Filho,BA,137117,Em elaboração,0.12,0.54,0.09,--
Araras,SP,136739,Sim,0.05,0.01,0.01,0.00
Itaguaí,RJ,136547,Em elaboração,0.28,0.71,0.05,0.00
Araruama,RJ,136109,Sim,0.04,0.23,0.00,0.00
Marituba,PA,135812,Em elaboração,0.68,0.90,0.00,0.00
São Félix do Xingu,PA,135732,Em elaboração,0.98,--,0.30,0.01
Campo Largo,PR,135678,Sim,0.01,0.31,0.14,0.00
Pinhais,PR,134788,Sim,0.00,0.00,0.00,0.08
São Mateus,ES,134629,Sim,0.15,0.46,0.03,0.00
Crato,CE,133913,Sim,0.01,0.71,0.30,0.01
Resende,RJ,133244,Sim,0.04,0.05,0.00,0.01
Valinhos,SP,133169,Sim,0.06,0.10,0.00,0.00
Cubatão,SP,132521,Em elaboração,0.16,0.46,0.00,0.02
Santa Cruz do Sul,RS,132271,Sim,0.11,0.80,0.00,0.01
Cachoeirinha,RS,132144,Sim,0.00,0.16,0.00,0.00
Trindade,GO,132006,Sim,0.06,0.30,0.04,0.00
Vespasiano,MG,131849,Em elaboração,0.16,0.20,0.11,0.01
Itapipoca,CE,131687,Em elaboração,0.59,0.80,0.23,0.01
Maranguape,CE,131677,Em elaboração,0.48,0.91,0.10,0.00
Ji-Paraná,RO,131026,Sim,0.31,0.99,0.10,0.06
Conselheiro Lafaiete,MG,130584,Sim,0.17,0.26,0.00,0.02
Bragança,PA,130122,Em elaboração,0.86,--,0.20,0.04
Barcarena,PA,129333,Não,0.64,0.84,0.38,0.01
Guarapari,ES,128504,Em elaboração,0.12,0.40,0.00,0.31
Sertãozinho,SP,128432,Sim,0.01,0.01,0.00,0.00
Jandira,SP,127734,Em elaboração,0.00,0.18,0.00,0.01
Uruguaiana,RS,126766,Sim,0.06,0.14,0.03,0.01
Arapongas,PR,126545,Não,0.00,0.18,0.00,0.00
Birigui,SP,126094,Em elaboração,0.00,0.00,0.67,0.00
Formosa,GO,125705,Não,0.09,0.11,0.08,0.00
Paço do Lumiar,MA,125265,Não,0.23,0.68,0.28,0.00
Ribeirão Pires,SP,125238,Sim,0.09,0.26,0.00,0.10
Caraguatatuba,SP,125194,Sim,0.16,0.29,0.00,0.00
Três Lagoas,MS,125137,Sim,0.06,0.07,0.05,0.18
Santana,AP,124808,Sim,0.58,0.99,0.07,0.32
Votorantim,SP,124468,Sim,0.04,0.04,0.04,0.07
Colatina,ES,124283,Sim,0.01,0.12,0.12,0.06
Várzea Paulista,SP,124269,Em elaboração,0.03,0.07,0.00,0.00
Itatiba,SP,124254,Sim,0.07,0.15,0.00,0.01
Tatuí,SP,124134,Sim,0.00,0.01,0.01,0.01
Barretos,SP,123546,Não,0.00,0.00,0.03,0.00
Codó,MA,123368,Em elaboração,0.12,0.91,0.31,0.01
Guaratinguetá,SP,123192,Sim,0.02,0.08,0.00,0.01
Catanduva,SP,123114,Sim,0.03,0.03,0.01,0.00
Bento Gonçalves,RS,123090,Sim,0.08,0.99,0.01,0.00
Itabira,MG,121717,Sim,0.03,0.08,0.01,0.00
Bagé,RS,121518,Em elaboração,0.16,0.33,0.00,0.00
Senador Canedo,GO,121447,Sim,0.02,0.97,0.00,0.00
Almirante Tamandaré,PR,121420,Sim,0.00,0.41,0.02,0.20
Salto,SP,120779,Sim,0.00,0.03,0.00,0.00
Igarassu,PE,119690,Em elaboração,0.26,0.96,0.00,0.05
Novo Gama,GO,119649,Em elaboração,0.03,0.66,0.03,0.00
Poá,SP,119221,Sim,0.00,0.00,0.00,0.02
Paulo Afonso,BA,119213,Em elaboração,0.14,0.64,0.10,--
Araguari,MG,118361,Sim,0.00,0.00,0.07,0.00
Ubá,MG,117995,Sim,0.19,0.27,0.08,0.28
Altamira,PA,117320,Não,0.58,0.58,0.15,0.00
Piraquara,PR,116852,Em elaboração,0.00,0.11,0.27,0.04
Tucuruí,PA,116605,Sim,0.05,--,0.05,0.04
Parintins,AM,116439,Em elaboração,0.04,--,0.32,0.19
Passos,MG,115970,Em elaboração,0.05,0.06,0.05,0.00
Paragominas,PA,115838,Sim,0.15,0.89,0.15,0.00
Eunápolis,BA,115360,Não,0.07,0.89,0.07,0.00
Ourinhos,SP,115139,Sim,0.00,0.03,0.01,0.00
São Lourenço da Mata,PE,114910,Em elaboração,0.14,0.70,0.30,--
Paulínia,SP,114508,Sim,0.00,0.00,0.00,0.00
Açailândia,MA,113783,Não,-0.08,0.99,0.02,0.08
Umuarama,PR,113416,Em elaboração,0.00,0.00,0.11,0.00
Catalão,GO,113091,Sim,0.02,0.37,0.06,0.00
Corumbá,MS,112669,Não,0.13,0.47,0.05,0.06
Santa Cruz do Capibaribe,PE,111812,Não,0.31,0.60,0.15,--
Tailândia,PA,111554,Sim,0.87,--,0.56,0.00
Ariquemes,RO,111148,Sim,0.15,0.98,0.14,0.01
Coronel Fabriciano,MG,110709,Sim,0.19,0.22,0.00,0.14
Muriaé,MG,109997,Sim,0.07,0.07,0.07,0.23
Patos,PB,108766,Em elaboração,0.00,0.87,0.08,0.02
Araxá,MG,108403,Sim,0.07,0.07,0.00,0.00
Nova Serrana,MG,108241,Em elaboração,0.22,0.26,0.12,0.01
Cambé,PR,108126,Sim,0.00,0.00,0.03,0.00
Tangará da Serra,MT,107631,Sim,0.02,0.76,0.09,0.00
São Pedro da Aldeia,RJ,107556,Sim,0.02,0.20,0.00,0.00
Erechim,RS,107368,Sim,0.06,--,0.03,0.00
Tubarão,SC,107143,Sim,0.00,0.73,0.00,0.19
Itumbiara,GO,106845,Em elaboração,0.04,0.04,0.04,0.07
Japeri,RJ,106296,Em elaboração,0.08,--,0.05,0.14
Lagarto,SE,106015,Sim,0.06,0.94,0.06,0.00
Ituiutaba,MG,105818,Sim,0.04,0.04,0.03,0.00
Assis,SP,105768,Em elaboração,0.00,0.00,0.02,0.00
Lavras,MG,105756,Em elaboração,0.11,0.14,0.02,0.50
Leme,SP,105273,Sim,0.02,0.02,0.00,0.00
Bacabal,MA,105094,Não,0.21,0.95,0.22,0.02
Aracruz,ES,104942,Sim,0.09,0.21,0.05,0.01
São Gonçalo do Amarante,RN,104919,Sim,-0.16,0.63,0.01,0.01
Vilhena,RO,104517,Sim,0.04,--,0.05,0.00
Itaperuna,RJ,104354,Em elaboração,0.17,--,0.08,0.04
Itanhaém,SP,104351,Sim,0.04,0.53,0.00,0.00
Breves,PA,104280,Não,0.75,--,0.50,0.06
Itacoatiara,AM,104046,Não,0.01,--,0.33,0.08
Caieiras,SP,104044,Sim,0.02,0.21,0.00,0.00
Fazenda Rio Grande,PR,103750,Em elaboração,0.00,0.00,0.01,0.00
Mairiporã,SP,103645,Sim,0.41,0.76,0.13,0.00
Iguatu,CE,103633,Sim,0.15,0.84,0.18,0.07
Jataí,GO,103221,Sim,0.09,0.09,0.03,0.35
Santo Antônio de Jesus,BA,103204,Não,0.17,0.79,0.13,0.00
Itaituba,PA,101541,Em elaboração,0.91,--,0.37,--
Barra do Piraí,RJ,101139,Sim,0.25,0.47,0.01,0.05
Abreu e Lima,PE,100698,Não,0.12,0.77,0.01,0.18
Manacapuru,AM,99613,Sim,0.29,--,0.15,0.21
Ipojuca,PE,99101,Em elaboração,0.34,0.82,0.05,0.06
Sarandi,PR,98888,Sim,0.01,0.50,0.01,0.01
Guaíba,RS,98331,Sim,0.02,0.78,0.00,0.03
Valença,BA,97873,Sim,0.14,0.27,0.20,0.49
Itajubá,MG,97782,Em elaboração,0.16,0.22,0.09,0.27
Bayeux,PB,97519,Não,0.22,0.92,--,--
Nova Lima,MG,97378,Sim,0.07,0.77,0.02,0.04
Balsas,MA,96951,Não,0.10,--,0.23,0.00
Itabaiana,SE,96839,Sim,0.02,0.75,0.12,0.00
Votuporanga,SP,96106,Sim,0.00,0.00,0.03,0.00
Campo Mourão,PR,96102,Em elaboração,0.00,0.00,0.05,0.00
Caçapava,SP,95752,Sim,0.00,0.01,0.02,0.02
Pará de Minas,MG,95616,Sim,0.00,0.01,0.00,0.00
Cáceres,MT,95339,Sim,0.18,0.93,0.11,0.00
Ponta Porã,MS,95320,Em elaboração,0.21,0.35,0.19,0.01
Itapeva,SP,95241,Sim,0.03,0.16,0.00,0.00
Caldas Novas,GO,95183,Em elaboração,0.11,0.22,0.00,0.00
Sorriso,MT,94941,Em elaboração,0.00,0.30,0.12,0.00
Paracatu,MG,94539,Sim,0.19,0.25,0.03,0.00
Itaúna,MG,94455,Sim,0.00,0.04,0.00,0.01
Mogi Mirim,SP,94098,Sim,0.06,0.12,0.01,0.00
Francisco Beltrão,PR,93308,Em elaboração,0.00,0.15,0.00,0.05
Caratinga,MG,93124,Sim,0.26,0.40,0.46,0.03
São Roque,SP,93076,Sim,0.30,0.52,0.00,0.00
Ubatuba,SP,92819,Sim,0.22,0.65,0.00,--
Luís Eduardo Magalhães,BA,92671,Em elaboração,0.09,0.36,0.00,0.02
Arujá,SP,92453,Em elaboração,0.00,0.26,0.04,0.00
São João da Boa Vista,SP,92315,Sim,0.00,0.00,0.04,--
Patrocínio,MG,92116,Sim,0.00,0.00,0.01,0.00
São Cristóvão,SE,92090,Sim,-0.19,0.71,0.17,0.06
Manhuaçu,MG,92074,Sim,0.00,0.00,0.19,--
Saquarema,RJ,91938,Sim,0.06,0.26,0.04,--
Avaré,SP,91792,Em elaboração,0.00,0.01,0.03,0.00
São Sebastião,SP,91637,Sim,0.25,0.40,0.00,0.08
Planaltina,GO,91345,Sim,0.04,0.06,0.01,0.00
Timóteo,MG,91268,Sim,0.13,0.13,0.00,0.00
São João del Rei,MG,90897,Sim,0.00,-0.07,0.64,--
Santa Inês,MA,89927,Em elaboração,0.52,--,0.06,0.00
Cruzeiro do Sul,AC,89760,Em elaboração,0.49,--,0.14,0.25
Lorena,SP,89532,Sim,0.00,0.00,0.03,0.01
Paranavaí,PR,89454,Em elaboração,0.00,0.00,0.05,0.00
Quixadá,CE,88899,Em elaboração,0.50,0.84,0.16,0.28
Barra do Corda,MA,88895,Não,0.61,--,--,--
Gurupi,TO,88428,Sim,0.01,0.45,0.00,--
Candeias,BA,87820,Não,0.10,0.53,--,--
Serra Talhada,PE,87467,Em elaboração,0.00,0.21,0.23,0.01
Camboriú,SC,87179,Sim,0.05,--,0.00,0.34
Coari,AM,86713,Sim,0.88,--,0.58,0.00
Cacoal,RO,86416,Em elaboração,0.21,0.43,0.16,0.01
Campo Limpo Paulista,SP,86407,Sim,0.20,0.35,0.00,0.00
Redenção,PA,86326,Não,0.51,0.95,0.07,0.00
São Bento do Sul,SC,86317,Sim,0.01,0.68,0.04,0.03
Lajeado,RS,86005,Sim,0.00,0.99,0.00,0.02
Navegantes,SC,85734,Sim,0.01,--,0.05,0.03
Pacatuba,CE,85647,Em elaboração,0.39,0.60,0.01,0.06
Unaí,MG,85461,Não,0.16,0.28,0.20,0.00
Guanambi,BA,85353,Não,0.20,0.48,0.21,0.01
Gravatá,PE,85309,Não,0.00,0.80,0.12,0.02
Araripina,PE,85301,Não,0.28,0.56,0.58,0.01
Carpina,PE,85131,Não,0.00,--,0.00,0.00
Cianorte,PR,84980,Em elaboração,0.00,0.31,0.00,0.00
Pato Branco,PR,84779,Em elaboração,0.00,0.00,0.06,0.02
Moju,PA,84251,Não,0.92,--,0.43,0.00
Pinheiro,MA,84160,Sim,0.75,--,0.41,0.10
Matão,SP,84069,Em elaboração,0.00,0.00,0.02,0.00
Ijuí,RS,84041,Sim,0.09,0.80,0.00,0.00
Seropédica,RJ,83841,Em elaboração,0.34,0.75,0.04,0.01
Dias d'Ávila,BA,83705,Sim,0.02,0.54,0.01,0.00
Esteio,RS,83352,Não,0.00,0.61,0.00,--
Cruzeiro,SP,82895,Sim,0.00,0.03,0.03,0.01
Macaíba,RN,82828,Sim,0.38,0.97,0.11,0.01
Três Rios,RJ,82468,Em elaboração,0.01,0.02,0.01,--
Quixeramobim,CE,82455,Em elaboração,0.30,--,0.27,--
Serrinha,BA,81693,Sim,0.03,0.91,0.08,0.01
Aquiraz,CE,81581,Em elaboração,0.72,0.85,0.00,0.00
Cachoeira do Sul,RS,81552,Sim,0.13,0.63,0.14,0.05
Vinhedo,SP,81516,Sim,0.03,0.11,0.03,0.00
Curvelo,MG,81085,Em elaboração,0.14,0.26,0.03,0.00
Alfenas,MG,80973,Sim,0.14,0.16,0.03,0.00
João Monlevade,MG,80903,Sim,0.00,0.00,0.00,0.01
Jacobina,BA,80749,Sim,0.18,0.92,0.17,0.15
Viana,ES,80735,Sim,0.21,0.62,0.08,0.05
Chapadinha,MA,80705,Sim,0.49,--,0.57,0.00
Telêmaco Borba,PR,80588,Em elaboração,0.00,0.11,0.00,0.01
Três Corações,MG,80561,Sim,0.19,0.22,0.03,0.05
Sapiranga,RS,80514,Sim,0.09,0.99,0.03,0.00
Goiana,PE,80345,Em elaboração,0.31,0.92,0.00,--
Ibiúna,SP,80062,Sim,0.49,0.81,0.50,0.00
